number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,state
54,0.7872930329181673,2022-08-29 19:16:57.114438,2022-08-29 19:17:07.776159,0 days 00:00:10.661721,9.544892055271148e-06,gbtree,0.024074462761346498,1.1279659177672234e-08,lossguide,11.930372793367583,3,COMPLETE
55,-1.3808695369209372,2022-08-29 19:17:07.777916,2022-08-29 19:17:21.328049,0 days 00:00:13.550133,0.00044741858590593243,gbtree,0.0013543065454986168,6.711056163195885e-08,lossguide,0.011284322985646912,3,COMPLETE
56,0.7751140965285859,2022-08-29 19:17:21.331162,2022-08-29 19:34:03.390936,0 days 00:16:42.059774,2.971031153112621e-07,gbtree,0.022304842960442234,3.689736742113213e-08,lossguide,0.0007926923638137126,3,COMPLETE
57,0.26774691104468806,2022-08-29 19:34:03.393335,2022-08-29 19:34:10.874640,0 days 00:00:07.481305,1.2453891371381319e-06,gbtree,0.010352330919698522,2.6474451513579843e-07,lossguide,0.004783221463110167,2,COMPLETE
58,0.857632786098409,2022-08-29 19:34:10.882593,2022-08-29 19:34:21.734564,0 days 00:00:10.851971,6.141163177401758e-06,gbtree,0.04674127502703828,0.0014031780694572125,depthwise,0.023236379014106055,3,COMPLETE
59,-2.0101229458849477,2022-08-29 19:34:21.743147,2022-08-29 19:34:32.503475,0 days 00:00:10.760328,0.00020292413555347925,gbtree,2.4407629535109852e-08,1.0752101817787391e-08,lossguide,0.00025499417429928896,3,COMPLETE
60,-0.32445057938277977,2022-08-29 19:34:32.505756,2022-08-29 19:50:34.635006,0 days 00:16:02.129250,0.019998477338617975,gbtree,0.004702385784803503,9.381652538657379e-08,lossguide,0.19066607036194097,4,COMPLETE
61,0.8585785250539154,2022-08-29 19:50:34.636974,2022-08-29 19:50:45.295787,0 days 00:00:10.658813,6.766673040833732e-06,gbtree,0.04794919389930703,0.05062722176276404,depthwise,0.02897139024478528,3,COMPLETE
62,0.8043517227061565,2022-08-29 19:50:45.297148,2022-08-29 19:50:55.969089,0 days 00:00:10.671941,2.239952199230965e-07,gbtree,0.02583138260213885,0.04531258654984281,depthwise,0.846912808508906,3,COMPLETE
63,0.8589832215859995,2022-08-29 19:50:55.971447,2022-08-29 19:51:06.609690,0 days 00:00:10.638243,8.678796859436848e-08,gbtree,0.04913068485499082,0.0009899817074901537,depthwise,0.05846315050119701,3,COMPLETE
64,0.6606345905783624,2022-08-29 19:51:06.618425,2022-08-29 20:07:04.464124,0 days 00:15:57.845699,6.749803811513875e-06,gbtree,0.016090241853605882,0.13117898291601143,depthwise,0.08065885558275208,3,COMPLETE
65,0.8046347274584349,2022-08-29 20:07:04.466957,2022-08-29 20:07:15.004570,0 days 00:00:10.537613,1.439131562037837,gbtree,0.026237773884567425,0.000665902268904012,depthwise,3.861482752977367,3,COMPLETE
66,0.21053546756812058,2022-08-29 20:07:15.005305,2022-08-29 20:07:22.156379,0 days 00:00:07.151074,0.00011644073692894859,gbtree,0.009658911061098115,0.0045030231650124855,depthwise,0.7426075218759124,2,COMPLETE
67,0.6319179922099241,2022-08-29 20:07:22.158623,2022-08-29 20:07:32.794609,0 days 00:00:10.635986,4.495219792407125e-07,gbtree,0.015155420526275649,6.910736739290691e-05,depthwise,0.03394777403845366,3,COMPLETE
68,-1.9720111414203445,2022-08-29 20:07:32.796084,2022-08-29 20:07:46.579611,0 days 00:00:13.783527,0.2596555989178065,gbtree,7.705309885947613e-05,0.00019299553421428596,depthwise,297.011699476513,4,COMPLETE
69,-1.2514938390915535,2022-08-29 20:07:46.580362,2022-08-29 20:22:57.281165,0 days 00:15:10.700803,1.4334672122962845e-07,gbtree,0.0016858408830289025,0.9202031234626952,depthwise,0.0052521263855803465,3,COMPLETE
70,0.884922153517761,2022-08-29 20:22:57.283956,2022-08-29 20:23:15.734950,0 days 00:00:18.450994,2.0043498796625566e-06,gbtree,0.04873050167250507,0.03623253804911852,depthwise,0.0006943825093019094,5,COMPLETE
71,0.8853556188968759,2022-08-29 20:23:15.737294,2022-08-29 20:23:33.711488,0 days 00:00:17.974194,9.359222762741814e-07,gbtree,0.04894208015345787,0.04093991577258442,depthwise,0.0006708909846599613,5,COMPLETE
72,0.8789256576912144,2022-08-29 20:23:33.713796,2022-08-29 20:39:55.403551,0 days 00:16:21.689755,3.4668159244294357e-06,gbtree,0.03145250672016508,0.07482721811822585,depthwise,0.0013591105454279306,5,COMPLETE
73,0.8745807890763082,2022-08-29 20:39:55.405760,2022-08-29 20:40:13.160572,0 days 00:00:17.754812,4.051346432559278e-06,gbtree,0.02884686634613499,0.03808778302946628,depthwise,0.0013308356109314628,5,COMPLETE
74,0.8752233818186852,2022-08-29 20:40:13.162763,2022-08-29 20:57:10.077579,0 days 00:16:56.914816,1.057677439570223e-05,gbtree,0.029130141845785856,0.06428678040933515,depthwise,0.0002863297824502266,5,COMPLETE
75,0.7417392663285056,2022-08-29 20:57:10.079880,2022-08-29 20:57:27.718257,0 days 00:00:17.638377,0.0020697859956634846,gbtree,0.015663654671580464,0.1909215316561811,depthwise,0.0006364232103169705,5,COMPLETE
76,0.8725685068644692,2022-08-29 20:57:27.720586,2022-08-29 20:57:45.522836,0 days 00:00:17.802250,4.153103001031827e-05,gbtree,0.02797099958646454,0.018127062416586688,depthwise,0.001847154367816693,5,COMPLETE
77,0.8761420122655674,2022-08-29 20:57:45.525201,2022-08-29 21:14:14.651297,0 days 00:16:29.126096,1.7574663666815007e-05,gbtree,0.029660513195804494,0.021873302603442203,depthwise,0.0012328404697765183,5,COMPLETE
78,-0.4919893745845745,2022-08-29 21:14:14.653698,2022-08-29 21:14:32.137767,0 days 00:00:17.484069,1.786349412264289e-05,gbtree,0.003840310167374976,0.012645292969559341,depthwise,0.0013766562829351586,5,COMPLETE
79,0.8762238491726065,2022-08-29 21:14:32.140131,2022-08-29 21:14:49.907858,0 days 00:00:17.767727,0.0008088120306535912,gbtree,0.029682265904256305,0.09603363005250364,depthwise,0.00022322590302600707,5,COMPLETE
80,0.33825753153794585,2022-08-29 21:14:49.910252,2022-08-29 21:15:08.279434,0 days 00:00:18.369182,0.0006807669334994786,gbtree,0.008648701186319259,0.09532037033745745,depthwise,0.00020394857191222314,5,COMPLETE
81,0.8744654699098284,2022-08-29 21:15:08.281717,2022-08-29 21:15:27.584518,0 days 00:00:19.302801,4.782637120495144e-05,gbtree,0.02863488318337227,0.028781926782280778,depthwise,8.832976915235501e-05,5,COMPLETE
82,0.8756802649715745,2022-08-29 21:15:27.586562,2022-08-29 21:15:47.030524,0 days 00:00:19.443962,0.00022822047792696423,gbtree,0.0293069248497537,0.005128686814368264,depthwise,0.0004507810096365723,5,COMPLETE
83,-2.0070061412693474,2022-08-29 21:15:47.031370,2022-08-29 21:16:06.992621,0 days 00:00:19.961251,0.00026214932663930343,gbtree,5.537044199330622e-06,0.0038613606510176177,depthwise,0.00037621477965148713,5,COMPLETE
84,0.686578616183489,2022-08-29 21:16:06.994938,2022-08-29 21:16:26.860278,0 days 00:00:19.865340,0.06522029294340179,gbtree,0.013949539353150435,0.2713333933784963,depthwise,0.0007084571556060993,5,COMPLETE
85,-0.030243985414693683,2022-08-29 21:16:26.861026,2022-08-29 21:16:46.817400,0 days 00:00:19.956374,0.011875065012312202,gbtree,0.005959966514517568,0.09787881352022942,depthwise,6.224354341273817e-05,5,COMPLETE
86,0.8793537492849071,2022-08-29 21:16:46.818464,2022-08-29 21:17:07.200478,0 days 00:00:20.382014,1.40684510213063e-05,gbtree,0.03170065950158593,0.00981082566402202,depthwise,1.0125011490268313e-05,5,COMPLETE
87,0.8260263944531268,2022-08-29 21:17:07.202809,2022-08-29 21:17:27.569379,0 days 00:00:20.366570,8.008531659025517e-05,gbtree,0.02025382115373277,0.0069034712427254825,depthwise,1.4178848278265875e-05,5,COMPLETE
88,0.4822737164233558,2022-08-29 21:17:27.571737,2022-08-29 21:17:48.076413,0 days 00:00:20.504676,1.7813273183652746e-05,gbtree,0.01024813673903427,0.003104146262083442,depthwise,5.133461011947831e-06,5,COMPLETE
89,0.8807566477723285,2022-08-29 21:17:48.077168,2022-08-29 21:18:08.688025,0 days 00:00:20.610857,1.4627994071968657e-05,gbtree,0.03301453332825503,0.07554699804968731,depthwise,0.0002076650658614312,5,COMPLETE
90,0.7482995025873777,2022-08-29 21:18:08.689941,2022-08-29 21:18:29.535229,0 days 00:00:20.845288,0.00590739942006877,gbtree,0.01589868020243263,0.01907520035527697,depthwise,2.497471780041573e-05,5,COMPLETE
91,0.8797301242587758,2022-08-29 21:18:29.536286,2022-08-29 21:18:50.459830,0 days 00:00:20.923544,1.8607095610770115e-05,gbtree,0.031843505419469544,0.07177114241302232,depthwise,0.00014697273713818053,5,COMPLETE
92,0.8776406423812129,2022-08-29 21:18:50.461161,2022-08-29 21:19:11.461512,0 days 00:00:21.000351,0.0006393005091141448,gbtree,0.030814076462780664,0.024735198948265896,depthwise,5.43512748061628e-05,5,COMPLETE
93,0.8047806042190102,2022-08-29 21:19:11.462954,2022-08-29 21:19:32.375306,0 days 00:00:20.912352,0.001178626786703223,gbtree,0.018664171504346197,0.026594273593568894,depthwise,2.3283955446836534e-06,5,COMPLETE
94,0.8810951071337654,2022-08-29 21:19:32.376273,2022-08-29 21:19:53.329019,0 days 00:00:20.952746,0.023103461634628408,gbtree,0.03318705137792887,0.07039860375806586,depthwise,0.00014306135333173596,5,COMPLETE
95,0.6222274058086589,2022-08-29 21:19:53.330757,2022-08-29 21:20:14.492671,0 days 00:00:21.161914,23.13822068243317,gbtree,0.012485292645883418,0.3058037046331779,depthwise,4.90476541274483e-05,5,COMPLETE
96,0.3222585280499801,2022-08-29 21:20:14.494187,2022-08-29 21:20:35.744232,0 days 00:00:21.250045,0.02579528670247856,gbtree,0.00849714118062474,0.0842794457195098,depthwise,1.0158847465262978e-06,5,COMPLETE
97,0.8809105542335798,2022-08-29 21:20:35.746571,2022-08-29 21:20:56.904545,0 days 00:00:21.157974,0.0029333388534364575,gbtree,0.033281481744535484,0.1542080315553454,depthwise,0.00015579020418520674,5,COMPLETE
98,-2.0098725161518693,2022-08-29 21:20:56.905300,2022-08-29 21:21:18.107215,0 days 00:00:21.201915,0.001966024011144829,gbtree,4.657879172490625e-07,0.1681554561867331,depthwise,0.00012075766634679433,5,COMPLETE
99,0.8831710016816754,2022-08-29 21:21:18.109007,2022-08-29 21:21:39.355048,0 days 00:00:21.246041,0.16443090775618194,gbtree,0.036775987314476816,0.011318170220101247,depthwise,1.980769303154361e-05,5,COMPLETE
100,0.8822697122907217,2022-08-29 21:21:39.355854,2022-08-29 21:22:00.808693,0 days 00:00:21.452839,0.39393758792681244,gbtree,0.03579788309046875,0.06254258127118781,depthwise,4.872141040980659e-06,5,COMPLETE
101,0.8390868186968861,2022-08-29 21:22:00.811168,2022-08-29 21:22:22.162182,0 days 00:00:21.351014,0.17938599466494254,gbtree,0.021495713475631863,0.01133045491113858,depthwise,7.161659061114972e-06,5,COMPLETE
102,0.8830578850678301,2022-08-29 21:22:22.164549,2022-08-29 21:22:43.542461,0 days 00:00:21.377912,2.3177448124832516,gbtree,0.03661475603647135,0.048268489235345324,depthwise,1.4723330158228408e-05,5,COMPLETE
